person_id,initial_approval_date,update_date,create_date,last_modified_date,last_modified_user_id
5,2008-08-01 00:00:00,,2009-07-30 12:07:37,2017-01-19 9:46:40,2
8,2022-03-03 19:28:35,,2022-03-03 19:25:34,2023-06-22 0:27:04,342
9,2007-08-01 00:00:00,,2009-09-09 13:01:51,2018-03-30 13:52:34,2
23,2019-08-09 16:36:54,,2019-08-09 16:34:53,2019-11-19 23:17:44,342
29,2011-07-05 14:21:14,,2010-08-27 15:55:58,2022-12-13 20:22:31,2
40,2024-01-26 21:00:43,,2024-01-26 18:13:22,2024-02-09 15:51:07,2
61,2014-12-19 11:30:37,,2014-12-19 10:09:48,2017-09-26 13:34:01,2
84,2008-08-01 00:00:00,,2009-07-15 15:25:42,2017-03-22 12:09:12,2
86,2007-08-01 00:00:00,,2009-09-03 17:03:39,2015-08-20 16:17:29,2
96,2007-08-01 00:00:00,,2009-09-04 13:54:00,2017-09-28 17:28:31,342
276,2016-06-03 11:49:48,,2016-06-03 11:48:43,2024-05-07 20:27:23,342
303,2007-08-01 00:00:00,,2009-08-27 13:49:57,2021-02-22 18:19:27,342
490,2007-08-01 00:00:00,,2009-08-31 15:58:49,2018-01-19 14:45:15,2
494,2007-08-01 00:00:00,,2009-07-20 12:56:51,2024-05-07 20:27:43,342
495,2007-08-01 00:00:00,2015-07-01 00:00:00,2009-07-20 13:05:13,2015-08-19 14:28:34,2
620,2014-12-19 11:30:34,,2014-12-19 10:20:54,2019-10-31 13:42:54,2
726,2008-08-01 00:00:00,,2009-08-05 16:12:04,2024-05-07 20:28:40,342
1029,2010-07-01 00:00:00,,2010-07-06 16:04:10,2023-09-12 13:11:22,2
1035,2010-07-06 16:45:10,,2010-07-06 16:29:04,2023-09-12 13:08:19,2
1108,2007-08-01 00:00:00,,2009-08-31 15:25:06,2022-08-31 14:58:20,2
1370,2020-05-11 14:41:10,,2020-05-11 14:39:47,2021-12-20 15:05:00,2
1564,2013-03-25 20:31:34,,2013-03-25 16:08:42,2021-01-22 16:30:12,2
1575,2012-09-05 15:29:57,,2012-09-04 18:43:56,2021-01-22 16:33:49,2
1586,2010-09-01 00:00:00,,2010-10-19 17:03:31,2020-04-09 21:17:59,2
1628,2014-01-07 7:30:49,,2014-01-06 11:01:52,2024-02-02 14:03:46,2
1637,2010-09-01 00:00:00,,2010-10-08 11:56:04,2023-06-22 0:01:37,342
1639,2018-01-05 20:13:18,,2018-01-05 20:11:47,2018-01-05 20:13:18,2
1659,2022-01-19 19:15:18,,2022-01-19 19:09:59,2022-01-24 20:11:02,2
1719,2023-07-06 14:51:48,,2023-07-06 14:29:42,2023-07-06 14:51:48,2
1720,2023-07-06 14:51:49,,2023-07-06 14:49:14,2023-07-06 14:51:49,2
1721,2023-07-06 14:51:48,,2023-07-06 14:20:10,2023-07-06 14:51:48,2
1722,2007-08-01 00:00:00,,2009-11-16 15:20:34,2017-09-26 10:48:58,2
1726,2010-04-11 00:00:00,,2010-04-30 15:06:31,2023-11-09 16:00:00,342
1728,2010-11-01 00:00:00,,2010-12-03 16:12:49,2024-05-07 20:31:26,342
1754,2007-08-01 00:00:00,,2009-08-21 16:40:28,2024-08-22 14:36:34,2
1820,2010-06-01 00:00:00,,2010-06-07 14:49:44,2023-11-10 19:21:22,342
1831,2013-05-03 18:41:33,,2013-05-03 18:34:05,2021-01-22 19:52:30,2
1852,2013-02-26 22:12:27,,2013-02-26 20:06:58,2024-05-07 20:30:51,342
1869,2015-02-12 11:53:02,,2015-02-12 11:49:59,2018-01-22 23:53:14,343
1871,2011-04-11 14:42:07,,2011-04-11 14:41:19,2020-07-01 17:37:56,342
1898,2010-04-11 00:00:00,,2010-04-19 12:11:30,2024-05-07 20:31:55,342
1901,2013-06-03 20:05:39,,2013-06-03 18:39:19,2021-01-22 19:55:15,2
1902,2013-06-03 20:05:41,,2013-06-03 18:57:51,2022-06-22 19:07:25,342
1903,2013-04-22 19:17:35,,2013-04-22 19:16:42,2024-05-07 20:32:26,342
1908,2011-07-29 19:00:44,,2011-07-29 19:00:27,2021-01-23 16:47:03,2
1930,2012-07-26 16:44:14,,2012-07-26 15:54:12,2021-01-24 18:34:29,2
1963,2010-06-01 00:00:00,,2010-06-03 10:05:41,2017-12-14 15:26:55,2
1974,2015-05-19 13:36:17,,2015-05-19 13:34:33,2019-10-28 14:32:09,342
1981,2009-12-01 00:00:00,,2009-11-19 14:50:30,2015-08-20 16:09:07,2
1985,2010-05-01 00:00:00,,2010-05-17 11:44:00,2016-09-30 11:39:26,2
2029,2013-05-03 18:41:30,,2013-05-02 20:15:56,2023-11-10 16:23:43,342
2051,2010-01-01 00:00:00,,2010-01-20 16:24:52,2019-02-01 14:39:55,342
2069,2022-05-09 15:35:05,,2022-05-06 19:39:29,2022-05-09 15:35:05,2
2104,2010-04-11 00:00:00,,2010-05-03 11:32:06,2017-09-28 18:21:50,2
2118,2011-12-15 21:49:50,,2011-12-15 21:19:49,2024-05-07 20:32:59,342
2137,2010-01-01 00:00:00,,2010-01-22 14:45:38,2018-03-26 14:48:05,2
