person_id,initial_approval_date,update_date
5,2008-08-01 00:00:00,
8,2022-03-03 19:28:35,
9,2007-08-01 00:00:00,
23,2019-08-09 16:36:54,
29,2011-07-05 14:21:14,
40,2024-01-26 21:00:43,
61,2014-12-19 11:30:37,
84,2008-08-01 00:00:00,
86,2007-08-01 00:00:00,
96,2007-08-01 00:00:00,
276,2016-06-03 11:49:48,
303,2007-08-01 00:00:00,
490,2007-08-01 00:00:00,
494,2007-08-01 00:00:00,
495,2007-08-01 00:00:00,2015-07-01 00:00:00
620,2014-12-19 11:30:34,
726,2008-08-01 00:00:00,
1029,2010-07-01 00:00:00,
1035,2010-07-06 16:45:10,
1108,2007-08-01 00:00:00,
1370,2020-05-11 14:41:10,
1564,2013-03-25 20:31:34,
1575,2012-09-05 15:29:57,
1586,2010-09-01 00:00:00,
1628,2014-01-07 7:30:49,
1637,2010-09-01 00:00:00,
1639,2018-01-05 20:13:18,
1659,2022-01-19 19:15:18,
1719,2023-07-06 14:51:48,
1720,2023-07-06 14:51:49,
1721,2023-07-06 14:51:48,
1722,2007-08-01 00:00:00,
1726,2010-04-11 00:00:00,
1728,2010-11-01 00:00:00,
1754,2007-08-01 00:00:00,
1820,2010-06-01 00:00:00,
1831,2013-05-03 18:41:33,
1852,2013-02-26 22:12:27,
1869,2015-02-12 11:53:02,
1871,2011-04-11 14:42:07,
1898,2010-04-11 00:00:00,
1901,2013-06-03 20:05:39,
1902,2013-06-03 20:05:41,
1903,2013-04-22 19:17:35,
1908,2011-07-29 19:00:44,
1930,2012-07-26 16:44:14,
1963,2010-06-01 00:00:00,
1974,2015-05-19 13:36:17,
1981,2009-12-01 00:00:00,
1985,2010-05-01 00:00:00,
2029,2013-05-03 18:41:30,
2051,2010-01-01 00:00:00,
2069,2022-05-09 15:35:05,
2104,2010-04-11 00:00:00,
2118,2011-12-15 21:49:50,
2137,2010-01-01 00:00:00,
2162,2021-07-07 18:26:29,
2180,2011-04-01 00:00:00,
2181,2013-12-18 12:47:44,
2203,2010-06-01 00:00:00,
2232,2011-03-15 14:46:54,
2235,2011-01-12 12:51:37,
2237,2011-01-12 12:51:36,
2238,2011-01-01 00:00:00,
2280,2010-02-01 00:00:00,
2314,2015-05-19 13:36:19,
2327,2010-12-08 16:54:06,
2328,2010-06-01 00:00:00,
2329,2011-07-05 14:21:14,
2330,2014-01-07 11:50:02,
2336,2016-02-16 12:03:54,
2338,2010-04-19 14:38:22,
2339,2017-03-15 10:21:37,
2340,2014-07-01 00:00:00,
2387,2010-04-11 00:00:00,
2392,2013-02-26 22:12:26,
2393,2013-02-26 22:12:30,
2399,2013-02-26 22:12:24,
2409,2011-10-19 2:50:20,
2418,2022-06-15 13:26:31,
2419,2017-12-01 20:23:34,
2423,2016-02-05 11:21:17,
2424,2023-09-08 21:15:16,
2427,2016-06-24 14:05:29,
2434,2016-06-24 14:05:29,
2436,2011-04-28 18:17:22,
2441,2013-03-15 18:12:36,
2442,2010-11-01 00:00:00,
2456,2011-03-01 00:00:00,
2462,2010-06-01 00:00:00,
2469,2014-09-09 14:00:32,
2483,2014-01-24 12:59:24,
2491,2010-01-01 00:00:00,
2495,2011-10-19 2:50:22,
2504,2014-01-15 13:30:26,
2506,2012-07-19 19:28:58,
2510,2011-03-01 00:00:00,
2521,2011-06-14 13:41:43,
2523,2010-10-01 00:00:00,
2527,2012-06-26 20:49:25,
2539,2008-08-01 00:00:00,
2541,2021-06-28 20:10:13,
2561,2014-12-19 13:17:16,
2577,2014-01-24 13:41:16,
2578,2014-01-24 12:59:28,
2584,2010-12-17 14:26:51,
2589,2011-03-01 00:00:00,
2591,2010-09-03 11:25:10,
2592,2010-12-23 14:19:40,
2593,2010-09-21 17:15:17,
2595,2008-08-01 00:00:00,
2598,2010-09-03 15:07:38,
2606,2014-12-19 13:17:14,
2638,2010-09-03 13:42:29,
2639,2016-01-15 16:28:26,
2640,2016-01-15 16:28:26,
2661,2011-11-04 15:29:00,
2662,2013-01-15 17:34:54,
2665,2014-12-04 15:16:42,
2670,2008-08-01 00:00:00,
2683,2009-12-01 00:00:00,
2712,2008-08-01 00:00:00,
2720,2016-03-02 16:15:51,
2730,2014-01-02 13:34:21,
2733,2009-12-01 00:00:00,
2740,2011-11-11 16:44:23,
2755,2012-09-05 15:29:58,
2758,2012-07-19 19:28:59,
2774,2014-05-01 00:00:00,
2776,2011-04-01 00:00:00,
2780,2011-03-01 00:00:00,
2781,2011-03-18 13:38:13,
2784,2012-04-19 17:37:04,
2787,2011-04-01 00:00:00,
2788,2011-04-22 11:18:40,
