married_genealogical_group_id,start,start_approximate,end_reason_id,end_reason_name,end_approximate,is_junior_for_wife,is_junior_for_husband,is_senior_for_husband,is_senior_for_wife,wife_id,husband_id,birth_genealogical_group_id
,1949,0,2,,0,0,0,0,0,13697,9990,
1583,1950,0,2,,0,0,0,0,0,13724,10712,1584
1132,,0,,,0,0,0,0,0,13625,7929,1132
932,1933,0,1,divorce,0,0,0,0,0,11798,9333,1047
1048,,0,2,death,0,0,0,0,0,13509,13567,264
693,1938,0,2,death,0,0,0,0,0,13703,11290,
1048,641,0,2,death,0,0,0,0,0,10811,10760,
1132,,0,,,0,0,0,0,0,7585,9305,932
1047,,0,1,divorce,0,0,0,0,0,11796,11790,1076
1132,,0,3,dissolution,0,0,0,0,1,13708,7929,1571
1132,,0,,,0,0,0,0,0,13708,13709,1571
1132,,0,3,dissolution,0,1,0,0,0,10711,7929,1132
,,0,,,0,1,0,0,0,13739,7929,1132
1132,,0,,,0,0,0,0,0,32,13583,1590
,,0,,,0,0,0,0,0,13773,13774,
,,0,,,0,0,0,0,0,13788,13787,
,,0,,,0,0,0,0,0,13790,13791,
,,0,,,0,0,0,0,0,7297,7296,
,1783,0,2,death,0,0,0,0,0,13187,7562,
,1935,1,,,0,0,0,0,0,5082,5024,
,,0,,,0,0,0,0,0,12784,9688,
,,0,,,0,0,0,0,0,13805,13546,
,,0,,,0,0,0,0,0,13805,13545,
,,0,,,0,0,0,0,0,2917,2916,
,,0,,,0,0,0,0,0,3628,9612,
,1849,0,,,0,0,0,0,0,3627,3629,
,,0,,,0,0,0,0,0,13818,13817,
,,0,,,0,0,0,0,0,12993,12992,
,,0,,,0,0,0,0,0,13820,12839,
,1920,1,2,death,0,0,0,0,0,13843,9668,
,1930,1,1,divorce,1,0,0,0,0,13843,10019,
,1887,0,,,0,0,0,0,0,13850,8538,
,,0,,,0,0,0,0,0,13853,10467,
,,0,,,0,0,0,0,0,13869,10467,
,,0,,,0,0,0,0,0,13882,6699,
,,0,,,0,0,0,0,0,13894,8181,
