painting_id,title,description,har_nbr,image_name,thumb_name,create_user_id,create_date,last_modified_user_id,last_modified_date,publish_type_id,is_locked,lock_user_id,lock_date,location,source,source_original,source_url,creator_name,creator_tol_id,type,century,tradition_id,tol_place_id
1,Tsongkhapa,"A painting of Tsongkapa, founder of the Geluk tradition, with the two principal students, Gyaltsab on the left and Khedrub on the right.",595,HAR595_nav.jpg,HAR595_nav_thumb.jpg,1,2011-07-08 21:22:01,342,2016-05-26 13:48:44,5,1,2,2016-03-21 12:46:49,Rubin Museum of Art,,Rubin Museum of Art,,,,painting,59,27,
2,Mahakala - Panjarnata,"Pañjarnata Mahākāla is the protector of the Hevajra cycle of Tantras. The iconography and rituals are found in the eighteenth chapter of the Vajra Pañjara (""canopy,"" or ""pavilion"") Tantra, an exclusive 'explanatory tantra' to Hevajra itself. It is dated to the late fourteenth or early fifteenth century.",82,HAR82_nav.jpg,HAR82_nav_thumb.jpg,1,2011-07-08 21:27:27,342,2017-03-22 9:30:26,5,1,2,2016-03-21 12:47:37,Rubin Museum of Art,Rubin Museum of Art,Rubin Museum of Art,https://collection.rubinmuseum.org/objects/104/panjarnatha-mahakala,,,painting,56,7,
3,Mahakala - Panjarnata,"Mahākāla surrounded by the stylized flames of pristine awareness and emanating forth from the licks of flame are messengers in the shapes of various animals, black crows, black dogs, wolves, black men and women.",642,HAR642_nav.jpg,HAR642_nav_thumb.jpg,1,2011-07-08 21:29:47,342,2016-05-26 13:41:34,5,1,2,2016-03-21 12:48:00,Rubin Museum of Art,,Rubin Museum of Art,,,,painting,57,7,
5,Sachen Kunga Nyingpo,A painting of Sachen Kunga Nyingpo.,65789,HAR65789_nav.jpg,HAR65789_nav_thumb.jpg,1,2011-07-24 20:01:14,342,2016-05-26 13:35:57,5,1,2,2016-03-21 12:49:03,Rubin Museum of Art,Rubin Museum of Art,Rubin Museum of Art,https://collection.rubinmuseum.org/objects/1490/sachen-kunga-nyingpo-10921158-with-his-two-sons-sonam-ts,,,painting,61,7,
6,Ngorchen Kunga Zangpo,"Ngorchen Kunga Zangpo, the founder of the Ngor Branch of the Sakya tradition.",134,HAR134_nav.jpg,HAR134_nav_thumb.jpg,1,2011-07-24 20:02:02,342,2016-05-26 13:33:39,5,1,2,2016-03-21 12:49:56,Collection of Shelley and Donald Rubin,,Collection of Shelley and Donald Rubin,,,,painting,59,7,
7,Ngorchen Kunga Zangpo,"Ngorchen Kunga Zangpo at the left and his successor Muchen Sempa Chenpo Konchok Gyaltsen sitting on the right, surrounded by lineage teachers.",128,HAR128_nav.jpg,HAR128_nav_thumb.jpg,1,2011-07-24 20:02:42,342,2016-05-26 13:31:44,5,1,2,2016-03-21 12:50:39,Rubin Museum of Art,,Rubin Museum of Art,,,,painting,59,7,
8,Buddhashri,"Buddhashri surrounded by the lineage teachers of the Yogachara tradition of Buddhist philosophy. He was the principal teacher of Ngorchen Kunga Zangpo, the founder of the Ngor branch of the Sakya tradition.",269,HAR269_nav.jpg,HAR269_nav_thumb.jpg,1,2011-07-24 20:03:32,342,2016-05-26 12:46:37,5,1,2,2016-03-21 12:51:21,Rubin Museum of Art,Rubin Museum of Art,Rubin Museum of Art,https://collection.rubinmuseum.org/objects/511/buddhashri-sanggye-pel-13391419-surrounded-by-the-yogacha,,,painting,58,7,
9,Lhachok Sengge,"An ivory statue of Lhachok Sengge. The inscription on the base of the statue reads ""rgyal ba lha mchog seng ge.""",65232,HAR65232_nav.jpg,HAR65232_nav_thumb.jpg,1,2011-07-24 20:05:31,233,2016-06-22 15:56:55,5,1,2,2016-06-22 15:34:13,Rubin Museum of Art,Rubin Museum of Art,Rubin Museum of Art,https://collection.rubinmuseum.org/objects/220/abbot-lhachok-sengge-14681535,,,sculpture,61,7,
10,Damarupa,"Damarupa and Avadhutipa, two Indian siddhas. On the left is the siddha Damarupa holding upraised in his right hand a damaru drum and a skullcup in the left. On the viewer's right is Avadhutipa holding a skullcup to the heart with the left hand and pointing downwards with the right hand.",946,HAR946_nav.jpg,HAR946_nav_thumb.jpg,1,2011-07-24 20:06:39,342,2016-05-26 12:25:07,5,1,2,2016-03-21 12:52:45,Collection of Shelley and Donald Rubin,,Collection of Shelley and Donald Rubin,,,,painting,61,7,
11,Sanggye Sengge,"Sanggye Sengge, the eleventh throne holder of Ngor Ewam Monastery.",493,HAR493_nav.jpg,HAR493_nav_thumb.jpg,1,2011-07-24 20:07:18,342,2016-05-26 12:16:08,5,1,2,2016-03-21 12:53:12,Rubin Museum of Art,Rubin Museum of Art,Rubin Museum of Art,https://collection.rubinmuseum.org/objects/1404/sanggye-sengge-15041569,,,painting,60,7,
