painting_map_id,coordinates,tol_place_id,default_name,wylie_name,person_id,biography_id,painting_id,create_date,last_modified_user_id,last_modified_date
31,"265,18,313,82",,The Buddha,The Buddha,,,1,2011-07-23 0:02:10,1,2011-07-23 0:02:10
32,"212,18,264,82",,Maitreya,Maitreya,,,1,2011-07-23 0:02:10,1,2011-07-23 0:02:10
33,"161,18,211,82",,Asanga,Asanga,,,1,2011-07-23 0:02:10,1,2011-07-23 0:02:10
34,"110,18,159,82",,Vasubhandu,Vasubhandu,,,1,2011-07-23 0:02:10,1,2011-07-23 0:02:10
35,"59,18,109,82",,Arya Vimuktasena,Arya Vimuktasena,,,1,2011-07-23 0:02:10,1,2011-07-23 0:02:10
36,"5,18,58,82",,Bhananta Vimuktasena,Bhananta Vimuktasena,,,1,2011-07-23 0:02:10,1,2011-07-23 0:02:10
37,"7,84,69,153",,Lopon Choggi De,Lopon Choggi De,,,1,2011-07-23 0:02:11,1,2011-07-23 0:02:11
38,"7,157,69,225",,Vinitadeva,Vinitadeva,,,1,2011-07-23 0:02:11,1,2011-07-23 0:02:11
39,"7,226,69,291",,Kamalaśīla,kamalashIla,10316,,1,2011-07-23 0:02:11,1,2011-07-23 0:02:11
40,"7,292,69,362",,Vairocana,bai ro tsa na,7505,,1,2011-07-23 0:02:11,1,2011-07-23 0:02:11
41,"7,363,69,432",,Haribhadra,Haribhadra,,,1,2011-07-23 0:02:11,1,2011-07-23 0:02:11
42,"7,434,69,501",,Kusalin the Greater,Kusalin the Greater,,,1,2011-07-23 0:02:11,1,2011-07-23 0:02:11
43,"7,503,69,570",,Kusalin the Lesser,Kusalin the Lesser,,,1,2011-07-23 0:02:12,1,2011-07-23 0:02:12
44,"8,571,69,640",,Dharmakirti of Sumatra,Dharmakirti of Sumatra,,,1,2011-07-23 0:02:12,1,2011-07-23 0:02:12
45,"11,642,73,714",,Atiśa Dīpaṃkara,a ti sha dI paM ka ra,5717,,1,2011-07-23 0:02:12,1,2011-07-23 0:02:12
46,"74,642,132,714",,Dromton Gyelwa Jungne,brom ston rgyal ba'i 'byung gnas,4267,,1,2011-07-23 0:02:12,1,2011-07-23 0:02:12
47,"133,642,195,714",,Gonpawa Wangchuk Gyeltsen,dgon pa ba dbang phyug rgyal mtshan,2598,,1,2011-07-23 0:02:12,1,2011-07-23 0:02:12
48,"196,642,255,710",,Neuzurpa Yeshe Bar,sne'u zur pa ye shes 'bar,2591,,1,2011-07-23 0:02:12,1,2011-07-23 0:02:12
49,"256,642,317,710",,Duldzinpa Takmapa Kawa Darseng,dul 'dzin pa thag ma baka ba dar seng,2638,,1,2011-07-23 0:02:13,1,2011-07-23 0:02:13
50,"12,715,69,787",,Shupu Namkha Sengge,shud phu nam mkha' seng+ge,2593,,1,2011-07-23 0:02:13,1,2011-07-23 0:02:13
51,"70,715,133,787",,Lhodrak Namkha Gyelpo,lho brag nam mkha' rgyal po,5817,,1,2011-07-23 0:02:13,1,2011-07-23 0:02:13
52,"134,715,193,787",,Lhodrak Sengge Zangpo,lho brag seng+ge bzang po,5818,,1,2011-07-23 0:02:13,1,2011-07-23 0:02:13
53,"194,715,257,787",,Lhodrak Gyelse Zangpo,lho brag rgyal sras bzang po,5819,,1,2011-07-23 0:02:13,1,2011-07-23 0:02:13
54,"258,715,318,787",,"The First Lelung Jedrung, Drubchen Namkha Gyeltsen",sle lung rje drung 01 grub chen nam mkha' rgyal mtshan,2592,,1,2011-07-23 0:02:13,1,2011-07-23 0:02:13
55,"211,101,422,492",,Tsongkhapa Lobzang Drakpa,tsong kha pa blo bzang grags pa,8986,,1,2011-07-23 0:02:14,1,2011-07-23 0:02:14
56,"75,230,170,488",,Gyeltsabje Darma Rinchen,rgyal tshab rje dar ma rin chen,9095,,1,2011-07-23 0:02:14,1,2011-07-23 0:02:14
57,"452,230,552,488",,Khedrubje Gelek Pelzang,mkhas grub rje dge legs dpal bzang,8027,,1,2011-07-23 0:02:14,1,2011-07-23 0:02:14
