Incarnation Name,Incarnation BDRC ID,Incarnation Lineage TOL ID,Previous Incarnation Lineage TOL ID,Previous Incarnation Person TOL ID,Incarnation Sequence,Ordinal,Person TOL ID,Branched Lineage,Person BDRC ID,New Seat Established,Notes,Questions for Katie
Adzom Drukpa,R11MS152,1,,,1,1,8574,FALSE,P6002,,,
Adzom Drukpa,R11MS152,1,,8574,2,2,10793,FALSE,P8099,,,
Amchok,R8LS13083,2,,,1,1,13760,FALSE,P8LS12849,,,
Amchok,R8LS13083,2,,13760,2,2,4727,FALSE,P2976,,,
Amchok,R8LS13083,2,,4727,3,3,2787,FALSE,P1498,,,
Amchok,R8LS13083,2,,2787,4,4,13761,FALSE,P8LS13082,,,
Amdo Zhamar,R8LS13071,3, ,,1,1,3064,FALSE,P1750,,,
Amdo Zhamar,R8LS13071,3,,3064,2,2,13175,FALSE,P8LS12690,,,
Amdo Zhamar,R8LS13071,3,,13175,3,3,6099,FALSE,P373,,,
Amdo Zhamar,R8LS13071,3,,6099,4,4,3296,FALSE,P196,,,
Amdo Zhamar,R8LS13071,3,,3296,5,5,13176,FALSE,P8LS12691,,,
Amdo Zhamar,R8LS13071,3,,13176,6,6,13177,FALSE,P8LS12692,,,
Amdo Zhamar,R8LS13071,3,,13177,7,7,13757,FALSE,P8LS12693,,,
Belmang,R8LS13073,4,,,1,1,6312,FALSE,P3924,,,
Belmang,R8LS13073,4,,6312,2,2,3074,FALSE,P176,,,
Belmang,R8LS13073,4,,3074,3,3,7881,FALSE,P5367,,,
Belmang,R8LS13073,4,,7881,4,4,7882,FALSE,P5368,,,
Belmang,R8LS13073,4,,7882,5,5,7883,FALSE,P5369,,,
Belmang Chungwa,,5,,,2,2,3080,FALSE,P1765,,,Is this split from 4_6312?
Chakra,R8LS12788,6,,,1,1,13095,FALSE,P2AG2,,,
Chakra,R8LS12788,6,,13095,2,2,13096,FALSE,P2AG3,,,
Chakra,R8LS12788,6,,13096,3,3,13097,FALSE,P2AG4,,,
Chakra,R8LS12788,6,,13097,4,4,11618,FALSE,P8864,,,
Chakra,R8LS12788,6,,11618,5,5,5137,FALSE,P2JM411,,,
Chakra,R8LS12788,6,,5137,6,6,13094,FALSE,P2AG1,,,
Chakra,R8LS12788,6,,13094,7,7,13098,FALSE,P2AG5,,,
Chakra,R8LS12788,6,,13098,8,8,13099,FALSE,P2AG6,,,
Chakra,R8LS12788,6,,13099,9,9,13100,FALSE,P2AG7,,,
Chakra,R8LS12788,6,,13100,10,10,13101,FALSE,P2AG9,,,
Chakri Nyidrak,R8LS13249,7,,,1,1,6668,FALSE,P425,,,
Chakri Nyidrak,R8LS13249,7,,6668,2,2,9546,FALSE,P692,,,
Chakri Nyidrak,R8LS13249,7,,9546,3,3,10412,FALSE,P7732,,,
Chakri Nyidrak,R8LS13249,7,,10412,4,4,10413,FALSE,P7733,,,
Chakri Nyidrak,R8LS13249,7,,10413,5,5,10415,FALSE,P7735,,,
Chakri Nyidrak,R8LS13249,7,,10415,6,6,10414,FALSE,P7734,,,
Chakri Nyidrak,R8LS13249,7,,10414,7,7,289,FALSE,P00KG09971,,,
Chaktsa,R8LS13162,8,,,1,1,2118,FALSE,P5987,,,
Chaktsa,R8LS13162,8,,2118,2,2,10673,FALSE,P7986,,,
Chaktsa,R8LS13162,8,,10673,3,3,10678,FALSE,P7990,,,
Chaktsa,R8LS13162,8,,10678,4,4,8618,FALSE,P6042,,,
Chaktsa,R8LS13162,8,,8618,5,5,10676,FALSE,P7989,,,
Changkya,R8LS13058,9,,,1,1,2441,FALSE,P1181,,,
Changkya,R8LS13058,9,,2441,2,2,3758,FALSE,P209,,,
Changkya,R8LS13058,9,,3758,3,3,3141,FALSE,P182,,,
Changkya,R8LS13058,9,,3141,4,4,5967,FALSE,P3610,,,
Changkya,R8LS13058,9,,5967,5,5,13483,FALSE,P8LS12696,,,
Changkya,R8LS13058,9,,13483,6,6,13484,FALSE,P8LS12697,,,
Changkya,R8LS13058,9,,13484,7,7,10287,FALSE,P7615,,,
Changkya,R8LS13058,9,,10287,8,8,13501,FALSE,P8LS12698,,,
Chesho,R8LS13109,10,,,1,1,3320,FALSE,P1981,,,
Chesho,R8LS13109,10,,3320,2,2,4568,FALSE,P283,,,
