community_id,lat,long,map_priority_level_id,map_display_name,map_display_name_script
9,31.31398,98.94140,2,Katok,ཀཿ་ཐོག།
10,29.18413,91.40525,2,Mindroling,སྨིན་གྲོལ་གླིང་།
11,29.32779,91.10756,2,Dorje Drak,རྡོ་རྗེ་བྲག།
12,32.13334,98.85,1,Dzogchen,རྫོགས་ཆེན།
13,32.2663743,98.8857244,2,Shechen,ཞེ་ཆེན།
14,31.21570,98.82179,2,Pelyul,དཔལ་ཡུལ།
15,28.179,90.828,2,Sekhar Gutok,སྲས་མཁར་དགུ་ཐོག།
21,29.21477,90.96158,5,Zhung Treuzhing,གཞུང་སྤྲེའུ་ཞིང་།
32,29.1191914,88.8254028,2,Ngor,ངོར།
33,29.08333,87.63333,5,Dar Drangmoche,དར་གྲོང་མོ་ཆེ།
35,29.1275302,88.9925362,1,Zhalu,ཞྭ་ལུ།
36,29.75867,91.47614,2,Ganden,དགའ་ལྡན།
37,29.69781,91.13272,2,Sera,སེ་ར།
38,29.67677,91.04694,2,Drepung,འབྲས་སྤུངས།
39,29.26886,88.86982,1,Tashilhunpo,བཀྲ་ཤིས་ལྷུན་པོ།
40,36.49005,101.56717,1,Kumbum,སྐུ་འབུམ།
41,35.19405,102.50509,1,Labrang,བླ་བྲང་།
43,31.1818,99.5444,3,Adzom Gar,ཨ་འཛོམ་སྒར།
44,31.28333,99.60000,5,Nyoshul,སྨྱོ་ཤུལ།
45,29.97151,91.94550,5,Zha Lhakhang,ཞྭའི་ལྷ་ཁང་།
47,,,5,Bochung,བོ་ཆུང་།
48,32.56000,100.60000,5,Dodrubchen,རྡོ་གྲུབ་ཆེན།
52,29.241005,91.333746,5,Dratang,གྲྭ་ཐང་།
53,,,5,Lasum,ལ་གསུམ།
54,,,5,Dre,འབྲེ།
55,,,5,Getse,དགེ་རྩེ།
58,,,5,Odren,འོ་བྲན།
59,31.858570,96.296169,5,Neten,གནས་བརྟན།
60,32.0395,96.9928,5,Tsike,རྩི་ཀེ།
62,29.194314,88.7622636,2,Nartang,སྣར་ཐང་།
63,29.1182847,92.8016965,2,Daklha Gampo,དྭགས་ལྷ་སྒམ་པོ།
64,29.3003585,91.9720082,2,Densatil,གདན་ས་མཐིལ།
67,29.2150195,88.4085378,5,Tropu,ཁྲོ་ཕུ།
68,29.63984,91.22002,2,Tsel Gungtang,ཚལ་གུང་ཐང་།
70,30.82694,91.60927,5,Barom Gon,འབའ་རོམ་དགོན།
71,,,5,Lingtsang,གླིང་ཚང་།
73,,,5,Napu Monastery,སྣ་ཕུ་དགོན།
77,,,5,Lomi,ལོ་མི།
78,,,5,Rokam,རོ་སྐམ།
80,30.15745,91.22882,3,Taklung,སྟག་ལུང་།
82,30.1065934,92.2039065,2,Drigung Til,འབྲི་གུང་མཐིལ།
83,,,5,Gyer,དགྱེར།
84,,,5,Khangsar,ཁང་གསར།
85,29.43349,91.00433,2,Shukseb,ཤུག་གསེབ།
87,28.832443,90.096072,2,Ralung,རྭ་ལུང་།
90,29.35000,88.00000,2,Jonang,ཇོ་ནང་།
91,29.54832,91.08624,2,Sangpu Neutok,གསང་ཕུ་ནེའུ་ཐོག།
92,29.54580,90.95469,4,Nyetang Dolma Lhakang,སྙེ་ཐང་སྒྲོལ་མ་ལྷ་ཁང་།
93,28.93333,89.53333,5,Tsechen,རྩེ་ཆེན།
94,,,5,Sharkhapa,ཤར་ཁ་པ།
95,29.72759,90.57773,1,Tsurpu,མཚུར་ཕུ།
96,,,5,Drakram,བྲག་རམ།
97,,,5,Gharung,གྷ་རུང་།
101,29.13333,89.36667,5,Pokhang,སྤོས་ཁང་།
102,28.93333,89.60000,2,Pelkhor Chode,དཔལ་འཁོར་ཆོས་སྡེ།
105,29.30000,89.05000,5,Serdokchen,གསེར་མདོག་ཅན།
107,30.93333,95.56667,5,Tupten Dargye Ling,ཐུབ་བསྟན་དར་རྒྱས་གླིང་།
110,29.368129,88.002188,5,Takten Damcho Ling,རྟག་བརྟན་དམ་ཆོས་གླིང་།
112,29.97708,90.78496,5,Chubzang,ཆུ་བཟང་།
114,,,5,Kyangdur,རྐྱང་འདུར།
115,29.192265,86.616103,3,Chung Riwoche,ཅུང་རི་བོ་ཆེ།
116,,,5,Mending,སྨན་སྡིངས།
117,,,5,Menchu,སྨན་ཆུ།
119,29.487153,87.853913,5,Cholung Jangtse,ཆོས་ལུང་བྱང་རྩེ།
120,28.81667,89.65000,5,Nenying,གནས་རྙིང་།
122,,,5,Sabzang Ganden,ས་བཟང་དགའ་ལྡན།
124,,,5,Pelteng,དཔལ་སྟེང་།
