historical_period_facet_id,person_id,default_name,birth_year,death_year,birth_approx,death_approx,historical_period_id,historical_period_name
10901,13509,Trimalo,NULL,712,0,0,25,"7th Century"
13365,10811,"Wencheng Kongjo",623,680,1,0,25,"7th Century"
15481,13633,Woncheuk,613,695,0,0,25,"7th Century"
16595,13566,Semarkar,NULL,NULL,0,0,25,"7th Century"
17057,8342,"Tonmi Sambhoṭa",619,NULL,1,0,25,"7th Century"
10542,13198,"Takdra Lukong",NULL,782,0,0,29,"8th Century"
10862,13077,"Khyeuchung Lotsāwa",NULL,NULL,0,0,29,"8th Century"
10866,86,"Langdro Konchok Jungne",NULL,NULL,0,0,29,"8th Century"
10868,84,"Lasum Gyelwa Jangchub",NULL,NULL,0,0,29,"8th Century"
10870,5234,"Ma Rinchen Chok",NULL,NULL,0,0,29,"8th Century"
10873,10904,"Nanam Yeshe De",NULL,NULL,1,0,29,"8th Century"
10875,9624,"Denma Tsemang",NULL,NULL,1,0,29,"8th Century"
10881,13057,"Gyelwai Lodro",NULL,NULL,0,0,29,"8th Century"
10903,13509,Trimalo,NULL,712,0,0,29,"8th Century"
11269,6653,"Pelgyi Sengge",NULL,NULL,0,0,29,"8th Century"
11993,1108,"Namkhai Nyingpo",NULL,NULL,0,0,29,"8th Century"
12000,4903,"Gyelwa Chokyang",NULL,NULL,0,0,29,"8th Century"
12002,490,"Kharchen Pelgyi Wangchuk",NULL,NULL,0,0,29,"8th Century"
12008,5281,"Sokpo Pelgyi Yeshe",NULL,NULL,0,0,29,"8th Century"
12282,9121,"Nyak Jñānakumara",NULL,NULL,0,0,29,"8th Century"
12484,96,"Lang Pelgyi Sengge",NULL,NULL,0,0,29,"8th Century"
13104,10373,"Yeshe Tsogyel",NULL,NULL,0,0,29,"8th Century"
13670,10881,"Kawa Peltsek",NULL,NULL,1,0,29,"8th Century"
13683,10911,Vidyākaraprabha,NULL,NULL,0,0,29,"8th Century"
13725,13631,"Tong Ācārya",NULL,NULL,0,0,29,"8th Century"
13728,13627,Śākyaprabha,NULL,NULL,0,0,29,"8th Century"
13731,10980,Wangpabzhun,NULL,NULL,0,0,29,"8th Century"
13809,10546,Buddhaguhya,NULL,NULL,0,0,29,"8th Century"
14275,13058,"Wodren Pelgyi Wangchuk",NULL,NULL,0,0,29,"8th Century"
14285,9618,"Lhalung Pelgyi Dorje",NULL,NULL,0,0,29,"8th Century"
14326,303,"Nanam Dorje Dudjom",NULL,NULL,0,0,29,"8th Century"
14349,10900,Śīlendrabodhi,NULL,NULL,0,0,29,"8th Century"
14584,6205,"Nyang Tingdzin Zangpo",NULL,NULL,0,0,29,"8th Century"
14816,1370,"Khon Lui Wangpo",NULL,NULL,0,0,29,"8th Century"
14954,6681,"Drenpa Namkha",NULL,NULL,0,0,29,"8th Century"
14994,11117,"Drokmi Pelgyi Yeshe",NULL,NULL,0,0,29,"8th Century"
15301,10908,Jinamitra,NULL,NULL,0,0,29,"8th Century"
16049,13634,"Go Chodrub",755,849,1,0,29,"8th Century"
