place_id,is_branch_of
1747,9
1702,9
1676,9
1674,9
1649,9
1431,9
1318,9
1277,9
699,9
697,9
696,9
519,9
488,9
421,9
44,9
43,9
1398,11
1632,12
1556,12
1335,12
1263,12
1261,12
1110,12
522,12
470,13
1211,14
1112,14
1096,14
621,14
567,14
525,14
1620,32
1619,32
1618,32
1617,32
1596,32
207,32
1819,38
1317,38
1231,38
838,39
574,39
110,39
62,39
1334,40
1750,41
1185,41
1178,41
1013,41
979,41
480,41
410,41
368,41
361,41
485,64
1541,95
1340,95
1187,95
687,95
591,95
473,95
158,95
1631,128
1604,128
1592,128
179,128
346,156
345,156
572,190
209,206
1597,207
1216,215
219,218
1273,237
1069,237
813,237
404,237
1266,244
1401,327
1801,342
1659,342
1521,342
1229,342
1315,348
1246,349
724,349
1089,352
1038,354
1625,375
437,375
1549,385
499,398
1042,401
243,468
1276,603
159,720
145,720
183,839
1308,869
1475,892
827,892
1560,893
1194,947
1191,947
1502,968
1300,1299
403,1299
1320,1316
1767,1423
1694,1493
