"Place Name",community_id,person_id
"Achung Namdzong",1428,2816
"Adu Yakgo ",1486,5824
"Adzom Gar",43,"2953; 8574; 9990; 13653; 13654; 13659; 13810"
"Adzom Wosel Dongag Chokher Ling",1741,13884
"Alchi Chokhor",1102,3152
"Alo Peljor Gang",571,4358
Amarbayasgalant,1192,7162
"Amchok Monastery",480,"6045; 7881; 7882"
"Amchok Tsenyi",718,12171
"Amdo Chubzang Monastery",340,"3883; 4524; 5479; 5490; 8861; 13867"
"Amnye Machen",1086,"2541; 3061; 4611; 9083; 13086"
Angang,501,6635
"Ani Tsemkhung",1022,3989
"Anja Ritro",1334,2399
"Ara Khamtsen",1246,7565
"Arik Gonchen",805,"6065; 12828"
"Aten Tsamkhang",1703,13865
"Ati Ling",1640,12981
"Atsagat Datsan",1049,"11437; 13510"
"Baḥne Monastery ",1321,"13617; 13688"
Bakha,1330,10811
"Banak Zhol Gyelkhang",865,11114
"Bangri Jokpo ",309,"9105; 11572"
Banshul,1041,8861
"Baradrak Dondrubding",1493,"3266; 9761; 9764; 13855; 13859"
Bardan,1588,"13743; 13825"
"Bardrok Dorje Ling",996,"11462; 11942"
"Barkor Mani Lhakhang",867,5805
"Barom Gon",70,"3181; 7637"
"Baruun Khiid",1200,13588
"Batang Drubgon",1322,13617
Benchen,1542,12839
"Benchok Ritro",1050,10093
Bengen,1415,12180
Bennak,1071,10083
"Beri Monastery",1219,13173
"Beru Lachen",1604,"4310; 12479"
"Beshing Monastery",1178,"7879; 9523"
"Bhutan House",1099,3307
"Bido Gonchen",398,"2788; 3296; 4665"
"Birla House",1470,7007
"Bo Gangkar Monastery",1429,"2730; 9278; 10355"
Bodhgaya,1158,"1728; 3307; 3822; 4261; 5527; 6037; 7007; 8536; 9985; 10355; 11385; 13230; 13628; 13648; 13697; 13773; 13811; 13812"
"Bodong E",612,"2338; 2340; 2733; 3153; 3753; 4086; 10480; 13206"
Bora,979,2409
Borobudur,1397,13648
Boudhanath,173,"2997; 3152; 4611; 5457; 7007; 7870; 8782; 9372; 10355; 11385; 12839; 13745"
"Boulder Shambhala Center",1447,"11231; 11385"
"Buchu Lhakhang",1120,"9513; 13239"
"Buddhistisk Center Kobenhavn",1508,11385
"Buxa Chogar Tosam Tardo Ling",1473,"7007; 8612; 12479"
"Central Institute of Buddhist Studies",1411,13652
"Central Monastic Body",1758,"7601; 7676; 7815; 7895; 7918; 8343; 8397"
"Central Tibetan Administration",1543,"9983; 13519; 13545; 13549; 13583; 13611"
"Chagdud Dechen Ling",1638,12981
"Chagdud Orgyen Ling",449,"4125; 12981"
"Chakar Monastery",590,6285
Chakpori,443,"2180; 2662; 3134; 3955; 4358; 6205; 8538; 8906; 9442; 9839; 13654; 13693; 13694; 13806"
"Chakri Nyidrak Monastery",426,"6668; 8578; 9546; 10412; 10413; 10414; 10415; 11487"
"Chakzam Chuwori",563,"9469; 13205"
