community_id,person_id
1428,2816
1486,5824
43,"2953; 8574; 9990; 13653; 13654; 13659; 13810"
1741,13884
1102,3152
571,4358
1192,7162
480,"6045; 7881; 7882"
718,12171
340,"3883; 4524; 5479; 5490; 8861; 13867"
1086,"2541; 3061; 4611; 9083; 13086"
501,6635
1022,3989
1334,2399
1246,7565
805,"6065; 12828"
1703,13865
1640,12981
1049,"11437; 13510"
1321,"13617; 13688"
1330,10811
865,11114
309,"9105; 11572"
1041,8861
1493,"3266; 9761; 9764; 13855; 13859"
1588,"13743; 13825"
996,"11462; 11942"
867,5805
70,"3181; 7637"
1200,13588
1322,13617
1542,12839
1050,10093
1415,12180
1071,10083
1219,13173
1604,"4310; 12479"
1178,"7879; 9523"
1099,3307
398,"2788; 3296; 4665"
1470,7007
1429,"2730; 9278; 10355"
1158,"1728; 3307; 3822; 4261; 5527; 6037; 7007; 8536; 9985; 10355; 11385; 13230; 13628; 13648; 13697; 13773; 13811; 13812"
612,"2338; 2340; 2733; 3153; 3753; 4086; 10480; 13206"
979,2409
1397,13648
173,"2997; 3152; 4611; 5457; 7007; 7870; 8782; 9372; 10355; 11385; 12839; 13745"
1447,"11231; 11385"
1120,"9513; 13239"
1508,11385
1473,"7007; 8612; 12479"
1411,13652
1758,"7601; 7676; 7815; 7895; 7918; 8343; 8397"
1543,"9983; 13519; 13545; 13549; 13583; 13611"
1638,12981
449,"4125; 12981"
590,6285
443,"2180; 2662; 3134; 3955; 4358; 6205; 8538; 8906; 9442; 9839; 13654; 13693; 13694; 13806"
426,"6668; 8578; 9546; 10412; 10413; 10414; 10415; 11487"
563,"9469; 13205"
237,"29; 2328; 2329; 2462; 2592; 3778; 3782; 3783; 3784; 3785; 3786; 3788; 3789; 3791; 3792; 3793; 3794; 3795; 3877; 3989; 4002; 4285; 5137; 5897; 6340; 6373; 6770; 6793; 6935; 8076; 8085; 8101; 8103; 9126; 9693; 9750; 11565; 11597; 11618; 13078; 13097; 13098; 13099; 13100; 13101; 13102; 13103; 13104; 13105; 13106; 13107; 13108; 13109; 13110; 13404; 13423"
109,13064
1249,4358
526,"5122; 10457"
1687,"2720; 7581"
1418,7305
198,"12828; 13541"
435,5791
234,10536
1218,"5500; 7114"
307,"7622; 7803; 7815"
1247,7565
381,"3000; 7644; 13133"
1653,13773
134,10824
1226,4125
209,"4358; 8752; 11632"
1197,11285
466,"4141; 4720; 5901; 6874; 8108; 9361; 11114"
1476,"4309; 7007"
106,"2434; 13064"
186,13026
119,"2670; 2712; 4085; 11437"
354,"2788; 2926; 2931; 3072; 5652; 5706; 5897; 6331; 6332; 6333; 6334; 6335; 6336; 6337; 6338; 6339; 6341; 6342; 6343; 6344; 6345; 6346; 6348; 6349; 6350; 6353; 7881; 13502; 13507; 13544; 13547; 13550"
1471,7007
502,6635
441,"2755; 3134; 3739; 6419; 9873"
1152,3225
1068,"3877; 10835"
112,"4497; 6466; 9574"
1021,"3989; 4000; 4309; 6009"
597,5626
235,11352
1329,"4086; 12838"
442,3134
115,"3004; 9030; 13065"
1296,9990
1552,9761
827,6065
1292,13240
1707,40
351,4487
1365,10961
1378,13633
1430,"4358; 7442; 8181"
1212,"8972; 10018"
63,"620; 2584; 2589; 2595; 2662; 2683; 3121; 3165; 3168; 3169; 3175; 3182; 7523; 9126; 10258; 13242"
217,2683
298,"3171; 4489; 7093; 7565; 8107; 8109; 9062"
1398,13650
1295,7069
1488,4820
1394,8108
310,6286
33,"2338; 4310; 5858; 10548; 12613; 13721"
266,"5381; 8103"
204,8752
911,10687
567,"8753; 8754; 8757; 8892; 8972; 9083; 11003; 12171"
957,"9688; 10083"
1679,11437
1055,13510
1487,5824
1043,8861
343,"4265; 4276; 4489; 4494; 5706; 6286; 6466; 6526; 8108; 8109"
231,"9201; 9634"
1270,10442
496,1564
279,"3778; 3788; 3789; 3791; 6340; 6690; 13096; 13113"
256,"8085; 13094"
489,7945
64,"2539; 2595; 2799; 2899; 3121; 3736; 4086; 4358; 4368; 6159; 6756; 7636; 8474; 10835; 11141; 11877; 13073; 13437; 13707"
290,"2441; 2948; 4607; 9618"
412,"3485; 4358; 6499; 9383; 10699; 11972; 12741; 13532; 13533"
179,"10355; 10815; 12500; 12980"
1507,11385
1594,"12479; 13745"
1701,13860
251,2340
1157,"7429; 13863"
