community_id,community_name,founded_date,founded_date_approximate,founded_date_alternate,founded_century_id,existed_by_century_id
1,Monastery,,0,,,
2,Stupa,,0,,,
3,Temple,,0,,,
4,Clans,,0,,,
5,Nyingma,,0,,,
6,Marpa Kagyu,,0,,,
7,Sakya,,0,,,
8,Geluk,,0,,,
9,Katok,1159,0,,,
10,Mindroling,1676,0,,,
11,Dorje Drak,1632,0,,,
12,Dzogchen Monastery,1685,0,,,
13,Shechen,1734,0,,,
14,Pelyul Monastery,1665,0,,,
15,Sekhar Gutok,,0,,,
17,Tselpa,,0,,,
18,Karma Kagyu,,0,,,
19,Pakdru,,0,,,
20,Drigung Kagyu,,0,,,
21,Zhung Treuzhing,1150,0,,,
22,Drukpa,,0,,,
23,Martsang Kagyu,,0,,,
28,Yelpa,,0,,,
32,Ngor Ewaṃ Choden,1429,0,,,
33,Dar Drangmoche,,0,,,
34,Dzongpa,,0,,,
35,Zhalu,1027,0,,,
36,Ganden,1409,0,,,
37,Sera Monastery,1419,0,,,
38,Drepung Monastery,1416,0,,,
39,Tashilhunpo,1447,0,,,
40,Kumbum Jampa Ling,1560,0,,,
41,Labrang Tashikhyil,1709,0,,,
42,Institution,,0,,,
43,Adzom Gar,1842,0,,,
44,Nyoshul Jonpalung Monastery,1910,0,,,
45,Zha Lhakhang,798,0,,,
46,Che,,0,,,
47,Bochung,,0,,,
48,Dodrubchen Monastery,1850,1,,,
49,Nub,,0,,,
51,Dawa,,0,,,
52,Dratang,1081,0,,,
53,Lasum,,0,,,
54,Dre,,0,,,
55,Getse,,0,,,
56,Menge,,0,,,
57,Ngenlam,,0,,,
58,Wodren,,0,,,
59,Neten Monastery,1858,0,,,
60,Tsike,,0,,73,
61,Kadam,,0,,,
62,Nartang,1153,0,,,
63,Daklha Gampo,1121,0,,,
64,Densatil,1158,0,,,
65,Shupu,,0,,,
66,Ngok,,0,,,
67,Tropu Monastery,1212,0,,,
68,Tsel Gungtang,1175,0,,,
