community_id,community_name,wylie_name,tibetan,chinese,en_variants,bo_x_ewtx_variants,zh_hani_variants,sa_deva_variants,ru_cyrl_variants,mn_cyrl_variants,mn_mong_variants
9,Katok,kaH thog,ཀཿ་ཐོག།,,Katok Dorjeden; gatuo si,kaHthog rdo rje gdan,噶陀寺; 呷拖寺,,,,
10,Mindroling,smin grol gling ,སྨིན་གྲོལ་གླིང་།,,Orgyen Mindroling; minzhulin si; minzhuolin si,smin grol gling; o rgyan smin grol gling; 'og min o rgyan smin grol gling,敏珠林寺; 敏卓林寺,,,,
11,Dorje Drak,rdo rje brag,རྡོ་རྗེ་བྲག།,,Ewam Chokgar; Jang Dorje Drak; Tubten Dorje Drak Ewam Chokgar; ,thub bstan rdo rje brag e waM lcog sgar,,,,,
12,Dzogchen Monastery,rdzogs chen dgon,རྫོགས་ཆེན་དགོན།,竹庆寺,Dzogchen; Derge Dzogchen; Orgyen Samten Choling; Urgyen Samten Choling; Rudam Orgyen Samten Choling; zhuqing si,ru dam o rgyan bsam gtan chos gling,竹庆寺,,,,
13,Shechen,zhe chen,ཞེ་ཆེན།,,Zhechen; Shechen Tennyi Dargyeling; Zhechen Monastery; Shechen Gon; xieqing si,,协庆寺,,,,
14,Pelyul Monastery,dpal yul,དཔལ་ཡུལ།,,Pelyul Monastery; Payul; Palyul Gonpa Namgyal Jangchubling; baiyu si,dpal yul dgon; rnam rgyal byang chub gling; dpal yul rnam rgyal byang chub gling; dpal yul rnam rgyal byang chub chos gling; rnam rgyal rtse sngar yod dgon chung;,白玉寺,,,,
15,Sekhar Gutok,sras mkhar dgu thog,སྲས་མཁར་དགུ་ཐོག།,色喀古陀寺,Sekhar Guthok,,塞卡尔古陀寺; 色喀古陀寺,,,,
21,Zhung Treuzhing ,gzhung spre'u zhing ,གཞུང་སྤྲེའུ་ཞིང་།,,Zung Trezhing; Zhuntrelzhing; xiong zhixing si,,雄直兴寺,,,,
28,Yelpa,yel pa,ཡེལ་པ།,,,,,,,,
32,Ngor Ewaṃ Choden,ngor e waM chos ldan,ངོར་ཨེ་ཝཾ་ཆོས་ལྡན།,,Ngor Monastery; e-er si; aiwang quedan si,,俄尔寺; 艾旺却丹寺,,,,
33,Dar Drangmoche,dar grong mo che,དར་གྲོང་མོ་ཆེ།,,Dar Drangmoche Chokhor Yangtse,dar grang mo che; mdar grang mo che; 'dar grang mo che chos 'khor yang rtse,,,,,
35,Zhalu,zhwa lu,ཞྭ་ལུ།,,Shalu; xialu si,,夏鲁寺,,,,
36,Ganden,dga' ldan,དགའ་ལྡན།,甘丹寺,Ganden Monastery; Ganden Namgyel Ling; Riwo Ganden; gandan si,dga' ldan; ri bo dga' ldan dgon; 'brog ri bo dge ldan rnam par rgyal ba'i gling,,,,,
37,Sera Monastery,se ra,སེ་ར།,,Sera Tekchenling; Sera Thekchenling; Sera Monastery,,,,,,
38,Drepung Monastery,bras spungs,འབྲས་སྤུངས།,,,,,,,,
39,Tashilhunpo,bkra shis lhun po,བཀྲ་ཤིས་ལྷུན་པོ།,扎什伦布寺,Tashi Lhunpo; zhaxi lunbu si,gtsang bkra shis lhun po dpal gyi sde chen; phyogs thams cad las rnam par rgyal ba'i gling,扎什伦布寺; 吉祥须弥寺,,,,
40,Kumbum Jampa Ling,sku 'bum byams pa gling ,སྐུ་འབུམ་བྱམས་པ་གླིང་།,塔尔寺,Kumbum Jampaling; ta-er si; Tǎ'ěrsì,,塔尔寺; 塔儿寺; 衮本贤巴林,,,,
41,Labrang Tashikhyil,bla brang bkra shis 'khyil,བླ་བྲང་བཀྲ་ཤིས་འཁྱིལ།,,bla brang bkra shis 'khyil; dga' ldan bshad sgrub dar rgyas bkra shis g.yas su 'khyil ba'i gling; lapuleng si,,拉卜楞寺,,,,
43,Adzom Gar,a 'dzom sgar,ཨ་འཛོམ་སྒར།,,Anzom; Anzom Chogar; Osel Tekchok Ling; Osal Tegchogling,od gsal theg mchog gling,,,,,
44,Nyoshul Jonpalung Monastery,smyo shul ljon pa lung dgon,སྨྱོ་ཤུལ་ལྗོན་པ་ལུང་དགོན།,,liaoxi si; liaoxi yuanlin,,辽西圆林; 辽西寺,,,,
45,Zha Lhakhang,zhwa'i lha khang ,ཞྭའི་ལྷ་ཁང་།,,Zhai Lhakhang; Zhwai Lhakhang; Zhva Lhakhang; Zhwa Lhakhang; xia lakang; xiang lakang si,,霞拉康; 香拉康寺,,,,
48,Dodrubchen Monastery,rdo grub chen,རྡོ་གྲུབ་ཆེན།,,Drubchen Gon; Tsangchen Ngodrub Pelbar Ling; Dodrub Tsangchen Ngodrub Pelbar Ling,rtsang chen dngos grub dpal 'bar gling; rdo grub dgon gsang chen dngos grub dpal 'bar gling,,,,,
52,Dratang,grwa thang,གྲྭ་ཐང་།,,Drathang; Dranang,Drathang; Dranang; gra nang,Drathang; Dranang,,,,
59,Neten Monastery,gnas brtan dgon,གནས་བརྟན་དགོན།,laiding gong,,,,,,,
60,Tsike,rtsi ke,རྩི་ཀེ།,,,rtsi ske nor bu gling; rtsi ke nor bu gling,纳唐寺; 那唐寺,,,,
62,Nartang,snar thang ,སྣར་ཐང་།,纳唐寺,narthang; natang si,,,,,,
63,Daklha Gampo,dwags lha sgam po,དྭགས་ལྷ་སྒམ་པོ།, 达拉岗布寺,dala gangbu si,ri bo shAn ti,达拉岗布寺,,,,
64,Densatil,gdan sa mthil,གདན་ས་མཐིལ།,,Pakdru Densatil; Ngomsho Pakmo Drupai Densatil; ,gdan sa thel; ngom shod phag mo gru pa'i gdan sa thel,,,,,
67,Tropu Monastery,khro phu dgon,ཁྲོ་ཕུ་དགོན།,超浦寺,chaopu si; chuopu si,khro phu byams chen chos sde,超浦寺; 绰浦寺,,,,
68,Tsel Gungtang,tshal gung thang ,ཚལ་གུང་ཐང་།,蔡贡唐寺,Tsal Gungtang,gung thang chos sde,,,,,
70,Barom Gon,ba' rom dgon,འབའ་རོམ་དགོན།,,Barom Riwoche; Riwoche,ba' rom ri bo che; ri bo che,,,,,
73,Napu Monastery,sna phu dgon,སྣ་ཕུ་དགོན།,,,sna phu chos lung dgon; snang phu chos lung dgon,,,,,
75,Lhachuk,lha phyug,ལྷ་ཕྱུག།,,,,,,,,
76,Jupu Monastery,ju phu dgon,འཇུ་ཕུ་དགོན།,,Juphu,,,,,,
78,Rokam,ro skam,རོ་སྐམ།,,,,,,,,
80,Taklung Monastery,stag lung dgon,སྟག་ལུང་དགོན།,达隆寺 ,Taklung Tang; Taklung Gonchen,,达龙寺,,,,
82,Drigung Til,bri gung mthil,འབྲི་གུང་མཐིལ།,,Til Monastery; Drigung Monastery; Drigung Til Monastery,,,,,,
85,Shukseb,shug gseb,ཤུག་གསེབ།,,Shukseb Gon; xiuse si; xiongse si,snye phu shug gseb dgon,休色寺; 雄色寺,,,,
87,Ralung Monastery,rwa lung dgon pa,རྭ་ལུང་དགོན་པ།,,relong si,,热龙寺; 热隆寺,,,,
