parent_community_id,community_id,community_name
1085,1278,"Dakpa Shelri"
39,1143,"Tosamling College"
237,1186,"Lingto College"
947,1195,"Gyu Dratsang"
1750,1522,"Labrang Gyuto Dratsang"
1750,1523,"Labrang Gyume Dratsang"
36,315,"Ganden Jangtse College "
36,319,"Ganden Shartse College"
39,344,"Tashilhunpo Shartse Dratsang"
38,355,"Drepung Loseling College"
38,909,"Drepung Ngakpa Dratsang"
41,920,"Labrang Kālacakra College"
41,921,"Labrang Medical College"
41,922,"Labrang Hevajra College"
40,924,"Kumbum Tantric College"
40,925,"Kumbum Medical College"
40,926,"Kumbum Kālacakra College"
40,927,"Kumbum Debate College"
374,941,"Rongwo Tantric College"
374,942,"Rongwo Kālacakra College"
349,907,"Sera Ngakpa Dratsang"
38,908,"Drepung Deyang College"
14,1095,"Tosam Norbu Lhunpo"
9,1173,"Katok Shedra Norbu Lhunpo"
567,1570,"Dogyu Tosam Ling"
12,439,"Śrī Siṃha College"
180,445,"Khamshe Dargye Ling"
947,1191,"Riwo Gegye Ganden Shedrubling"
947,1194,"Kunga Choling"
342,1229,"Hardong Khamtsen"
355,1231,"Ling Khamtsen"
349,1246,"Ara Khamtsen"
348,1268,"Drati House"
349,1300,"Zhungpa Khamtsen"
348,1315,"Lhopa Khamtsen"
1477,1474,"Ganden Tritok Khang (India)"
38,342,"Drepung Gomang Dratsang"
374,505,"Rongwo Tashikhyil"
32,543,"Drepung Zurkhang"
37,572,"Sera Choding"
41,923,"Mejung Tosam Ling"
369,981,"Tsongkhapa Lhakhang"
809,991,"Tsongkhapa Hall"
355,1369,"Gyarong Khamtsen"
355,1409,"Petub Khamsten"
1472,1478,"Ling Khamtsen (India)"
349,1480,"Pombora Khamtsen"
40,1024,"Kumbum Printing Press"
95,1541,"Pema Khyung Dzong"
869,1308,"Karchung Doring"
13,1441,"Lekshe Nyida Ling"
207,412,"Derge Parkhang"
37,294,Purbuchok
728,1298,"Surkhang Printery"
37,841,"Drakri Hermitage"
37,860,"Keutsang West Hermitage"
9,1014,"Katok Drakdong Ritro"
443,1359,"Drak Lhalubuk"
947,984,"Tashi Chopel Dratsang"
32,1617,"Tartse Labrang"
32,1618,"Pende Labrang"
32,1619,"Khangsar Labrang"
32,1620,"Luding Labrang"
375,1625,"Ditsa Parkhang"
1622,1704,"Ke Mingyur Dorje Drak"
95,1745,"Samten Tse"
41,1750,"Labrang Tantric College"
37,322,"Sera Utse"
37,348,"Sera Je"
37,349,"Sera Me"
603,937,"Lhakhang Labrang"
603,1276,"Nedruk Lhakhang"
603,938,"Drolma Podrang"
603,936,"Ducho Labrang"
603,1220,"Labrang Shar"
603,939,"Puntsok Podrang"
603,935,"Rinchen Gang Labrang"
603,934,"Zhitok Labrang"
37,1020,"Tashi Choling Hermitage"
349,1021,"Chubzang Hermitage (Sera)"
37,423,"Pabongkha Hermitage "
443,1359,"Drak Lhalubuk"
342,1801,"Samlo Khamtsen"
39,1819,"Kyilkhang Dratsang"
