is_derived_from,place_id
1085,1278
39,1143
237,1186
947,1195
1750,1522
1750,1523
36,315
36,319
39,344
38,355
38,909
41,920
41,921
41,922
40,924
40,925
40,926
40,927
374,941
374,942
349,907
38,908
14,1095
9,1173
567,1570
12,439
180,445
947,1191
947,1194
342,1229
355,1231
349,1246
348,1268
349,1300
348,1315
1477,1474
38,342
374,505
32,543
37,572
41,923
369,981
809,991
355,1369
355,1409
1472,1478
349,1480
40,1024
95,1541
869,1308
13,1441
207,412
37,294
728,1298
37,841
37,860
9,1014
443,1359
947,984
32,1617
32,1618
32,1619
32,1620
375,1625
1622,1704
95,1745
41,1750
37,322
37,348
37,349
603,937
603,1276
603,938
603,936
603,1220
603,939
603,935
603,934
37,1020
349,1021
37,423
443,1359
342,1801
39,1819
