TOL Source ID,Source,PLACE ID,Source Display,Pages,BDRC ID,VIAF ID,OCLC ID,url other,Source Lang Tag,Source Display Lang Tag
1,,522,"<p>
Zla ba&#39;i &#39;od zer. 2006. <em>Khams stod dge rgyas nag tshang dgon sde&#39;i byung rabs kyi lo rgyus mes po&#39;i rjes dran</em>. Dge rgyal: dge rgyal nag tshang sde pa&#39;i mes po&#39;i rjes dran tshogs pa spel.</p>",,MW00EGS1016717,,,,,
2,,977,"<p>
&ldquo;g.yu thog rnam rgyal gling.&rdquo; In <em>Dzam lhaʼi me long</em>, 2007, p. 131&ndash;33. Khreng Tu&rsquo;u: Si khron dpe skrun tshogs pa si khron mi rigs dpe skrun khang.</p>",131-133,MW00KG07610,,,,,
3,,1075,"<p>
lha rnam rgyal rgya mtsho. 1999. <em>lha rgya ri gdung rabs</em>. 1 vols. New Delhi: Paljor Publications, pp. 16-21.</p>",16-21,MW00KG09731,,,,,
3,,424,"<p>
lha rnam rgyal rgya mtsho. 1999.&nbsp;<em>lha rgya ri gdung rabs</em>. 1 vols. New Delhi: Paljor Publications, pp. 20-21.</p>",20-21,MW00KG09731,,,,,
3,,1077,"<p>
lha rnam rgyal rgya mtsho. 1999.<em> lha rgya ri gdung rabs</em>. New Delhi: Paljor Publications, pp. 20-21.</p>",20-21,MW00KG09731,,,,,
4,,1488,"<p>
Ldan ma &#39;jam dbyangs tshul khrims. 1995-1997. <em>Khams stod kyi lo rgyus thor bsdus su bkod pa gangs phrug bsu ba&#39;i shing rta</em>, vol. 1, p. 45. Lanzhou: Kan su&#39;u mi rigs dpe skrun khang.</p>",45,MW18134,,,,,
4,,1489,"<p>
Ldan ma &#39;jam dbyangs tshul khrims. 1995-1997. <em>Khams stod kyi lo rgyus thor bsdus su bkod pa gangs phrug bsu ba&#39;i shing rta</em>, vol. 1, p. 45. Lanzhou: Kan su&#39;u mi rigs dpe skrun khang.</p>",45,MW18134,,,,,
4,,1516,"<p>
Ldan ma &#39;jam dbyangs tshul khrims. 1995-1997. <em>Khams stod kyi lo rgyus thor bsdus su bkod pa gangs phrug bsu ba&#39;i shing rta</em>, vol. 1, p. 47. Gansu: kan su&#39;u mi rigs dpe skrun khang.</p>",47,MW18134,,,,,
4,,1002,"<p>
ldan ma ʼjam dbyangs tshul khrims. 1995&ndash;1997.&nbsp;<em>Khams stod lo rgyus thor bsdus, vol. 1</em>. Kan suʼu mi rigs dpe skrun khang,&nbsp;p. 47a.</p>",47,MW18134,,,,,
4,,1498,"<p>&#39;Jam dbyangs tshul khrims. 1995-1997.&nbsp;<em>Khams stod lo rgyus thor bsdus</em>. Lanzhou: Kan su&#39;u mi rigs dpe skrun khan, vol. 1, p. 45.</p>",45,MW18134,,,,,
5,,219,"<p>
chab spel tshe brtan phun tshogs, mi &#39;gyur rdo rje. 1991.&nbsp;<em>bod kyi gal che&#39;i lo rgyus yig cha bdams bsgrigs</em>. \ 1 vols. lha sa: bod ljongs mi dmangs dpe skrun khang, p. 367.</p>",367,MW19220,,,,,
6,,390,"<p>
brug rje mkhan po 69 dge &#39;dun rin chen. 1976.<em> lho &#39;brug chos &#39;byung</em>. Bhutan: Nges don zung &#39;jug grub pa&#39;i dga&#39; tshal, p. 147.</p>",147,MW19809,,,,,
7,,1520,"<p>
2000.<em> lha sa grong khyer lha sa srid gros lo rgyus rig gnas dpyad yig rgyu cha rtsom &#39;bri u yon lhan khang</em>, p. 42.</p>",42,MW19856,,,,,
7,,1515,"<p>
Grong khyer lha sa srid gros lo rgyus rig gnas dpyad yig rgyu cha rtsom &#39;bri u yon lhan khang. 2000. <em>Snye mo rdzong</em>. Lhasa: Grong khyer lha sa srid gros lo rgyus rig gnas dpyad yig rgyu cha rtsom &#39;bri u yon lhan khang, pp. 44-45.</p>",44-45,MW19856,,,,,
8,,1224,"<p>
<em>dKar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, p. 299.</p>",299,MW19997,,,,,
8,,449,"<p>
<em>dKar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, p. 302.</p>",302,MW19997,,,,,
8,,518,"<p>
<em>dkar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, p. 309.</p>",309,MW19997,,,,,
8,,1183,"<p>
<em>dkar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, p. 445.</p>",445,MW19997,,,,,
8,,1337,"<p>
<em>dkar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, p. 449.</p>",449,MW19997,,,,,
8,,280,"<p>
<em>dkar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, p. 451.</p>",451,MW19997,,,,,
8,,1238,"<p>
<em>dkar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, p. 455.</p>",455,MW19997,,,,,
8,,1104,"<p>
<em>dkar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, p. 486.</p>",486,MW19997,,,,,
8,,955,"<p>
<em>dkar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, p. 526.</p>",526,MW19997,,,,,
8,,432,"<p>
<em>dkar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, p. 545.</p>",545,MW19997,,,,,
8,,1216,"<p>
<em>dkar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, p. 594.</p>",594,MW19997,,,,,
8,,145,"<p>
<em>dkar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, p. 604.</p>",604,MW19997,,,,,
8,,571,"<p>
<em>dkar mdzes khul gyi dgon sde so soʼi lo rgyus gsal bar bshad pa</em>, Vol. 1. 1995. Reb gong pa ʼjigs med bsam grub, ed. Pe cin: Krung goʼi bod kyi shes rig dpe skrun khang, p. 610.</p>",610,MW19997,,,,,
