person_id,tbrc_id,default_name,tradition_id
8,P00AG0401,"Pelden Chime Takpai Dorje",1
84,P00EGS1017608,"Lasum Gyelwa Jangchub",1
86,P00EGS1017610,"Langdro Konchok Jungne",1
96,P00EGS1017620,"Lang Pelgyi Sengge",1
303,P4CZ10564,"Nanam Dorje Dudjom",1
490,P0RK1217,"Kharchen Pelgyi Wangchuk",1
494,P0RK1221,"Dangma Lhungyel",1
495,P0RK1222,"Chetsun Sengge Wangchuk",1
1108,P7743,"Namkhai Nyingpo",1
1370,P8218,"Khon Lui Wangpo",1
1639,P10100,"Namgyel Gonpo",1
1722,P1018,"Langlab Jangchub Dorje",1
2069,P10497,"Rinchen Dorje",1
2232,P10646,"Kunkyong Lingpa",1
2541,P1271,"Takla Norbu",1
2662,P1382,"Choying Dorje",1
2740,P1454,"Yungton Dorje Pel",1
2776,P1487,"Karma Pakshi",1
2780,P1490,"Sonam Bumpa",1
2781,P1492,"Jampa Bum",1
2790,P150,"Yonten Gyatso",1
2816,P1523,"Lachen Gongpa Rabsel",1
2845,P155,"Buton Rinchen Drub",1
2882,P1583,"Longchenpa Drime Wozer",1
2948,P1646,"Jigme Rigpai Lodro",1
3000,P1693,"Pema Lingpa",1
3010,P1701,"Lekden Dorje",1
3020,P1710,"Mingyur Namkhai Dorje",1
3107,P179,"Kelzang Gyatso",1
3125,P1805,"Trulzhik Nauwa",1
3152,P183,"Shukseb Jetsun Choying Zangmo",1
3266,P1932,"Barawa Gyeltsen Pelzang",1
3485,P1GS60402,"Do Dasel Wangmo",1
3770,P210,"Tamdrin Lhamo",1
3866,P219,"Gendun Chopel",1
3883,P2204,"Pema Rangdol",1
3889,P221,"Jigme Damcho Gyatso",1
3989,P230,"Dechen Nyingpo",1
4028,P2335,"Yeshe Gyeltsen",1
4080,P2382,"Konchok Chodrak",1
4125,P2424,"Nyakla Pema Dudul",1
4140,P2438,"Pomdrakpa Sonam Dorje",1
4185,P248,"Jigme Tenpai Nyima",1
4228,P252,"Mipam Gyatso",1
4358,P264,"Jamgon Kongtrul Lodro Taye",1
4372,P2652,"Dawa Gyeltsen",1
4379,P2659,"Pema Trinle",1
4478,P2748,"Orgyen Trinle Dorje",1
4622,P2881,"Jigme Ngotsar Gyatso",1
4626,P2885,"Nubchen Sanggye Yeshe",1
4630,P2889,"Zurchen Shakya Jungne",1
4632,P2890,"Zurchung Sherab Drakpa",1
4659,P2914,"Sengdruk Pema Tashi",1
4676,P293,"Jigme Trinle Wozer",1
4903,P2JM167,"Gyelwa Chokyang",1
4986,P2JM275,"Namkha Chokyi Gyatso",1
4987,P2JM276,"Jigme Choying Wosel",1
5024,P2JM309,"Ngawang Norbu",1
5041,P2JM325,"Gelek Namgyel",1
5044,P2JM328,"Tsering Norbu",1
5048,P2JM331,"Konchok Zangpo",1
5078,P2JM359,"Gyurme Wosel",1
5117,P2JM394,"Konchok Yeshe Wozer",1
